 6/58 ;      August 20, 2023 ;    15-02-20-57-19-10 ;       49,500,000.000 ;     0
 6/45 ;      August 21, 2023 ;    33-45-09-32-35-13 ;       77,430,278.400 ;     0
 6/55 ;      August 21, 2023 ;    23-25-01-26-14-28 ;       74,343,965.400 ;     0
 6/42 ;      August 22, 2023 ;    21-18-10-24-14-38 ;        6,796,188.000 ;     0
 6/49 ;      August 22, 2023 ;    37-24-20-40-38-10 ;       15,840,000.000 ;     0
 6/58 ;      August 22, 2023 ;    38-15-11-55-10-52 ;       49,500,000.000 ;     0
 6/45 ;      August 23, 2023 ;    26-43-13-42-45-39 ;       84,909,679.000 ;     0
 6/55 ;      August 23, 2023 ;    18-12-29-07-28-50 ;       79,392,769.800 ;     0
 6/42 ;      August 24, 2023 ;    19-31-36-08-21-38 ;       10,410,422.600 ;     0
 6/49 ;      August 24, 2023 ;    33-40-03-44-48-42 ;       15,840,000.000 ;     0
 6/45 ;      August 25, 2023 ;    32-12-03-18-38-19 ;       93,036,829.800 ;     0
 6/58 ;      August 25, 2023 ;    15-30-06-05-13-52 ;       49,500,000.000 ;     0
 6/42 ;      August 26, 2023 ;    12-32-41-23-40-22 ;       14,187,192.400 ;     0
 6/55 ;      August 26, 2023 ;    42-28-30-34-33-01 ;       85,160,345.000 ;     0
 6/49 ;      August 27, 2023 ;    11-48-20-33-22-08 ;       18,928,519.000 ;     0
 6/58 ;      August 27, 2023 ;    06-50-57-45-13-56 ;       49,500,000.000 ;     0
 6/45 ;      August 28, 2023 ;    09-30-28-45-31-05 ;      101,344,365.201 ;     1
 6/55 ;      August 28, 2023 ;    41-17-07-51-39-46 ;       90,060,945.200 ;     0
